cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity
1,24,"02 Apr 2008, 15:25:41",3.277169976825196,-0.006528351251606992,34.230852841540965,-0.0006,0.0,3690.234,1.8564874208181574
3,24,"02 Apr 2008, 19:43:48",3.3002448871222545,-0.00044755257911718686,34.3921365871887,-0.0006,0.0,3672.344,1.846327249719927
5,24,"03 Apr 2008, 00:01:06",3.3274510098686276,0.001026018559364405,34.23277871576327,-0.0006,0.0,3651.641,1.8353491942234077
7,24,"03 Apr 2008, 04:16:37",3.314181858907029,-0.0022336216958504743,34.413449952605504,-0.0006,0.0,3631.563,1.8352625275821128
9,24,"03 Apr 2008, 08:33:25",3.30549673128648,9.237228410233747e-06,34.34588498997869,-0.0006,0.0,3629.172,1.8346455082120419
11,24,"03 Apr 2008, 12:55:10",3.302329112973759,-0.003967230111555653,34.20092692100587,-0.0006,0.001,3652.281,1.8356616600675495
13,24,"03 Apr 2008, 17:17:16",3.2937406695499014,-0.0034248271938185663,34.298284762513184,-0.0006,0.0,3650.828,1.8351461429226603
15,24,"03 Apr 2008, 21:28:14",3.3162307407741536,0.0017102389699127814,34.76224183630716,-0.0006,0.0,3572.453,1.8257567905665537
17,24,"04 Apr 2008, 01:38:15",3.297410935416153,-0.0010040523781800162,35.05182952791622,-0.0004,0.0,3550.594,1.8247738529891333
19,24,"04 Apr 2008, 05:48:08",3.2884044830952868,0.001261401409962675,35.02973666184703,-0.0006,0.0,3551.25,1.824613268496936
21,24,"04 Apr 2008, 09:57:19",3.2662755750614747,0.000285051707969381,35.32247968803144,-0.0006,0.0,3530.25,1.8246195526864504
24,24,"04 Apr 2008, 17:56:27",3.296199859463087,-0.0007757313952882699,35.59296016104038,-0.0006,0.0,3491.016,1.8142019357673917
26,24,"04 Apr 2008, 22:01:54",3.2717574155336004,-0.0004724383560177526,35.96127245490519,-0.0006,0.0,3470.281,1.8137521577549054
28,24,"05 Apr 2008, 02:20:26",3.2648550840850254,-0.002505993199826211,35.86960969538033,-0.0006,0.0,3470.0,1.8134404914735822
30,24,"05 Apr 2008, 06:25:01",3.309111201518355,-3.7823141304094924e-05,35.53204380823203,-0.0006,0.0,3450.297,1.8025980036306504
32,24,"05 Apr 2008, 10:30:32",3.2881490528689254,-0.0013593325342655855,35.810312891427124,-0.0006,0.0,3429.407,1.80210690024615
34,24,"05 Apr 2008, 14:34:41",3.260754100903525,-0.0007935553983644742,36.242477152162465,-0.0006,0.001,3409.484,1.802579500826209
36,24,"05 Apr 2008, 18:39:25",3.2294668217844102,-0.004407893711816556,36.702217251200324,-0.0006,0.0,3390.422,1.8030683142834096
38,24,"05 Apr 2008, 22:46:35",3.224378894859077,-0.0018621257169797669,36.77890978053394,-0.0006,0.0,3390.281,1.8027776247196041
41,24,"18 Apr 2008, 21:10:19",3.2587403321633976,-3.5420680093982313e-05,34.93481911198889,-0.0006,0.0,3591.734,1.8470259949329193
45,24,"19 Apr 2008, 02:29:09",3.2180462147957645,0.0001519420551230391,36.06881902912957,-0.0006,0.0,3552.297,1.847417311283644
49,24,"19 Apr 2008, 07:47:15",3.2573096268397737,-0.0027657354735320535,35.57131957324699,-0.0006,0.0,3531.578,1.8361774213478947
53,24,"19 Apr 2008, 13:01:42",3.2802567474945943,-0.00019534889369944483,35.495530791461825,-0.0006,0.0,3492.907,1.8257807475776242
57,24,"19 Apr 2008, 18:27:29",3.2797654511586916,-0.0019147055963251191,35.20943493671208,-0.0006,0.0,3511.594,1.8251136435078368
61,24,"19 Apr 2008, 23:41:55",3.2050689156049863,-0.00025691478503688745,36.50765859144094,-0.0006,0.0,3431.9370000000054,1.8255815042203762
65,24,"20 Apr 2008, 04:54:41",3.276866922356563,0.0006643566078412767,35.875137593603206,-0.0008,0.0,3431.125,1.8140311275083907
69,24,"20 Apr 2008, 10:16:28",3.2311300277309924,-0.002598175553068463,36.32486455253682,-0.0006,0.0,3412.406,1.8147691941158939
73,24,"20 Apr 2008, 15:37:05",3.2220257725268313,-0.0001462630300855854,36.40687719604908,-0.0006,0.0,3410.688,1.813969388710352
77,24,"20 Apr 2008, 20:50:38",3.2900827937307877,-0.0040120550638096785,35.87417260042261,-0.0008,0.0,3410.718,1.802765665167823
81,24,"21 Apr 2008, 02:15:02",3.2511761852414898,-0.0014514303266952755,36.40595071319766,-0.0006,0.0,3392.719,1.804077040117352
85,24,"22 Apr 2008, 15:33:49",3.249283482317545,-0.0014997014832476873,36.28230124882153,0.0006,0.0,3470.672,1.8518025516704486
89,24,"22 Apr 2008, 20:26:18",3.260087599199005,-0.0012288150483861198,36.739819153653464,0.0006,0.0,3414.109,1.8307038456739428
93,24,"23 Apr 2008, 01:18:11",3.281146601420838,0.0019472390588109682,36.49603036085123,0.0008,0.0,3395.219,1.8199041089501267
