cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity
1,24,"02 Apr 2008, 15:25:41",2.4757677568281857,-2.0094358918725432,39.16298653238707,-1.999,1.653,3690.234,2.035337591005598
3,24,"02 Apr 2008, 19:43:48",2.35152551190002,-2.010374855522972,39.2462026826329,-1.999,1.543,3672.344,2.0251402460314116
5,24,"03 Apr 2008, 00:01:06",2.4404797151065436,-2.008558887110113,38.999202460252846,-1.999,1.65,3651.641,2.013326371345464
7,24,"03 Apr 2008, 04:16:37",2.4791558539003917,-2.0092904478622464,38.843627771866515,-1.999,1.69,3631.563,2.0132846655407413
9,24,"03 Apr 2008, 08:33:25",2.280187848173442,-2.0117608402200586,38.97798888258284,-1.999,1.488,3629.172,2.000528337624771
11,24,"03 Apr 2008, 12:55:10",2.4392842568466446,-2.0109470452247566,38.83989920742278,-1.999,1.659,3652.281,2.0138990759931645
13,24,"03 Apr 2008, 17:17:16",2.2812068449406446,-2.012014626739587,39.04610837498471,-1.9992,1.505,3650.828,2.013101105626967
15,24,"03 Apr 2008, 21:28:14",2.366410527029613,-2.009602654155728,38.87507521022778,-1.9992,1.602,3572.453,1.9687898262728398
17,24,"04 Apr 2008, 01:38:15",2.436020049578708,-2.010503181695025,38.7260539826455,-1.999,1.664,3550.594,1.9681661764334244
19,24,"04 Apr 2008, 05:48:08",2.1864377487643725,-2.0120006291945924,38.98629728904917,-1.999,1.411,3551.25,1.9572307917560536
21,24,"04 Apr 2008, 09:57:19",2.3406023605912454,-2.0086057639408743,38.65978861919643,-1.9992,1.583,3530.25,1.9455991514129352
24,24,"04 Apr 2008, 17:56:27",2.4263021374140443,-2.008093198845442,38.84979195732924,-1.999,1.659,3491.016,1.9347505044841131
26,24,"04 Apr 2008, 22:01:54",2.4753697700007034,-2.008861764489536,38.75128344015104,-1.999,1.704,3470.281,1.9232799539368028
28,24,"05 Apr 2008, 02:20:26",2.342364523655007,-2.011425880438327,38.76853764058789,-1.999,1.59,3470.0,1.911889930948487
30,24,"05 Apr 2008, 06:25:01",2.188400081882664,-2.009440178017093,38.84686112344348,-1.999,1.433,3450.297,1.9010667141979305
32,24,"05 Apr 2008, 10:30:32",2.1206980945954057,-2.00629337660368,38.865889781652804,-1.999,1.371,3429.407,1.8891989948061458
34,24,"05 Apr 2008, 14:34:41",2.369981457799298,-2.0083999032211324,38.647578733807656,-1.999,1.625,3409.484,1.878278372248849
36,24,"05 Apr 2008, 18:39:25",2.247991649924625,-2.0103074874707247,38.79218188173866,-1.999,1.524,3390.422,1.8675697161520206
38,24,"05 Apr 2008, 22:46:35",2.8844463698113665,-0.0022772410696178776,38.77022223929529,-0.0008,0.0,3390.281,1.8675892574453767
41,24,"18 Apr 2008, 21:10:19",2.2033558468593775,-2.0099114516038865,37.54320599748628,-1.9992,1.445,3591.734,1.979626548250818
45,24,"19 Apr 2008, 02:29:09",2.35887751155593,-2.010023846843136,37.90362577530197,-1.999,1.619,3552.297,1.9575499080884022
